"_id","_labels","intersection_location","osmid","street_count","_start","_end","_type","lanes","oneway","road_highway","road_length","road_name","road_osmid"
"2",":Intersection","{""crs"":""wgs-84"",""latitude"":59.9714355,""longitude"":30.3107899,""height"":null}","236947","3",,,,,,,,,
"3",":Intersection","{""crs"":""wgs-84"",""latitude"":59.971109,""longitude"":30.3107616,""height"":null}","276738","1",,,,,,,,,
"4",":Intersection","{""crs"":""wgs-84"",""latitude"":59.9707529,""longitude"":30.2859282,""height"":null}","2384263","1",,,,,,,,,
"5",":Intersection","{""crs"":""wgs-84"",""latitude"":59.9704029,""longitude"":30.2877567,""height"":null}","2384265","1",,,,,,,,,
"6",":Intersection","{""crs"":""wgs-84"",""latitude"":59.9708097,""longitude"":30.3193151,""height"":null}","2384384","1",,,,,,,,,
"7",":Intersection","{""crs"":""wgs-84"",""latitude"":59.9755234,""longitude"":30.321575,""height"":null}","15485479","3",,,,,,,,,
"8",":Intersection","{""crs"":""wgs-84"",""latitude"":59.9762722,""longitude"":30.3190211,""height"":null}","15485490","1",,,,,,,,,
"9",":Intersection","{""crs"":""wgs-84"",""latitude"":59.9766303,""longitude"":30.3176853,""height"":null}","15485528","1",,,,,,,,,
"10",":Intersection","{""crs"":""wgs-84"",""latitude"":59.9767037,""longitude"":30.3221376,""height"":null}","45012453","1",,,,,,,,,
"11",":Intersection","{""crs"":""wgs-84"",""latitude"":59.9780226,""longitude"":30.3096668,""height"":null}","55942364","1",,,,,,,,,
"12",":Intersection","{""crs"":""wgs-84"",""latitude"":59.9688247,""longitude"":30.2939738,""height"":null}","55956255","2",,,,,,,,,
"13",":Intersection","{""crs"":""wgs-84"",""latitude"":59.9734366,""longitude"":30.2965436,""height"":null}","252840336","2",,,,,,,,,
"14",":Intersection","{""crs"":""wgs-84"",""latitude"":59.9732059,""longitude"":30.3112862,""height"":null}","306472877","2",,,,,,,,,
"15",":Intersection","{""crs"":""wgs-84"",""latitude"":59.9728486,""longitude"":30.3110334,""height"":null}","306472886","2",,,,,,,,,
"16",":Intersection","{""crs"":""wgs-84"",""latitude"":59.9719636,""longitude"":30.3257688,""height"":null}","311420576","1",,,,,,,,,
"17",":Intersection","{""crs"":""wgs-84"",""latitude"":59.9729732,""longitude"":30.3253306,""height"":null}","311420577","3",,,,,,,,,
"18",":Intersection","{""crs"":""wgs-84"",""latitude"":59.9730906,""longitude"":30.3249631,""height"":null}","311420579","2",,,,,,,,,
"19",":Intersection","{""crs"":""wgs-84"",""latitude"":59.9736109,""longitude"":30.3244925,""height"":null}","311420580","4",,,,,,,,,
"20",":Intersection","{""crs"":""wgs-84"",""latitude"":59.9747889,""longitude"":30.3212228,""height"":null}","311420581","3",,,,,,,,,
"21",":Intersection","{""crs"":""wgs-84"",""latitude"":59.9731382,""longitude"":30.3265057,""height"":null}","330109391","3",,,,,,,,,
"22",":Intersection","{""crs"":""wgs-84"",""latitude"":59.9729572,""longitude"":30.3266689,""height"":null}","330109392","3",,,,,,,,,
"23",":Intersection","{""crs"":""wgs-84"",""latitude"":59.9726583,""longitude"":30.3257077,""height"":null}","330109393","2",,,,,,,,,
